"","REF_AREA","Reference_area","TIME_PERIOD","health_status_F","health_status_B","health_status_G","upper_secondary_education","tertiary_education","below_upper_secondary_education","motor_vehicle_theft","mortality_from_transport_accidents","intentional_homicides","social_support","lack_of_social_support","feeling_lonely","life_satisfaction","satisfaction_w_relationships"
"70","ESP","Spain",2016,20.6,7,72.4,22.580437,35.693489,41.726074,84,4.2389781658585,0.6,94.7827313344,5.1265282466,4.5251576063,7.3293713044,8.2491528446
"71","ESP","Spain",2017,19.2,6.6,74.2,22.723196,36.351273,40.925529,79.6,4.3904449596205,0.7,91.6868047278,7.8844220971,4.5251576063,7.3293713044,8.2491528446
"72","ESP","Spain",2018,19.1,7.4,73.6,22.863016,37.252804,39.884182,64.5,4.2414943374731,0.6,91.6868047278,7.8844220971,4.5251576063,7.3293713044,8.2491528446
"73","ESP","Spain",2019,17.6,7.2,75.2,22.717112,38.596992,38.685894,61.4,4.15451674201727,0.7,91.6868047278,7.8844220971,5.4010666884,7.1921043699,7.868601518
"74","ESP","Spain",2020,20.4,6.6,73,23.178282,39.68692,37.134796,42.1,3.46948843561495,0.6,93.1459859007,6.8226476994,5.4010666884,7.1921043699,7.868601518
"75","ESP","Spain",2021,21.2,7.7,71.1,23.082798,40.35580826,36.56139374,42.8,3.72903329051129,0.6,93.1459859007,6.8226476994,5.4010666884,7.1921043699,7.868601518
"76","ESP","Spain",2022,22.8,7.2,70.1,23.069155,41.112835,35.818008,50.3,4.09324529982017,0.7,93.1459859007,6.8226476994,5.4010666884,7.1268416488,7.868601518
"77","ESP","Spain",2023,22.7,7.2,70.1,22.73836517,41.44420624,35.81742477,51.6,4.03908560892618,0.7,92.1724430822,7.7666497002,5.4010666884,7.2269001128,7.868601518
"78","EST","Estonia",2011,32,16.3,51.8,52.120499,36.889767,10.989735,38.9,9.19,6.1,87.7182627287,9.7822665832,5.2596310107,6.4551335228,7.6230506218
"79","EST","Estonia",2012,31.4,16.3,52.4,52.317989,37.605877,10.076135,30.5,6.88,4.5,87.7182627287,9.7822665832,5.2596310107,6.4551335228,7.6230506218
"80","EST","Estonia",2013,30.9,15.6,53.4,53.173813,37.345535,9.4806528,25.6,7.36,3.8,87.7182627287,9.7822665832,5.2596310107,6.4551335228,7.6230506218
"81","EST","Estonia",2014,31.7,16.5,51.8,50.605042,37.499954,11.895004,30.9,7.53,4.2,90.4767209722,7.4141695831,5.2596310107,7.0057674818,7.8934431441
"82","EST","Estonia",2015,32.8,15.7,51.4,50.527138,38.030697,11.442164,22,6.69,3.8,90.4767209722,7.4141695831,5.2596310107,7.0057674818,7.8934431441
"83","EST","Estonia",2018,33.7,14.7,51.6,48.058849,41.130722,10.810427,10.1,6.35,1.9,91.8760315835,6.4762101682,5.2596310107,7.0057674818,7.8934431441
"84","FIN","Finland",2010,24.5,7.2,68.3,44.836487,38.146343,17.01717,78,6,2.5,93.8486890095,5.6321560039,4.1794656747,8.0458559898,8.3019897488
"85","FIN","Finland",2011,23.7,7.5,68.8,44.406101,39.318207,16.27569,85.4,6.4,0.9,92.7486076417,6.3957954584,4.1794656747,8.0458559898,8.3019897488
"86","FIN","Finland",2012,26.1,6.8,67.1,45.135994,39.661289,15.202716,60.3,5.39,0.8,92.7486076417,6.3957954584,4.1794656747,8.0458559898,8.3019897488
"87","FIN","Finland",2013,28.7,6.7,64.6,45.345337,40.545231,14.109433,53.5,6.09,0.7,92.7486076417,6.3957954584,4.1794656747,8.0458559898,8.3019897488
"88","FIN","Finland",2014,24.4,6.4,69.2,44.730209,41.776676,13.493114,51.1,5.68,0.7,94.6267995812,4.8491129878,4.1794656747,8.1068445452,8.3926267429
"89","FIN","Finland",2015,24.4,5.8,69.8,44.410244,42.742619,12.847135,47.9,5.6,0.7,94.6267995812,4.8491129878,4.1794656747,8.1068445452,8.3926267429
"90","FIN","Finland",2017,24.4,5.6,70.1,43.799568,44.304253,11.896179,39.1,5.23,1.3,95.1069675182,4.5367156699,4.1794656747,8.1068445452,8.3926267429
"91","FIN","Finland",2018,25.5,5.7,68.8,43.885674,45.188133,10.926194,35.5,5.26,1.7,95.1069675182,4.5367156699,4.1794656747,8.1068445452,8.3926267429
"92","FIN","Finland",2019,26,5.6,68.4,44.329529,45.93438,9.7360916,34.6,4,1.5,95.1069675182,4.5367156699,7.1677916611,8.0447047955,8.1587425162
"93","FIN","Finland",2020,24.5,5.6,69.9,43.336906,47.874241,8.7888527,38.2,5,1.7,96.7351259488,3.1183577791,7.1677916611,8.0447047955,8.1587425162
"94","FIN","Finland",2021,23.8,6.2,70.1,46.585629,42.33107,11.083303,26.1,5,1.7,96.7351259488,3.1183577791,7.1677916611,8.0447047955,8.1587425162
"95","FIN","Finland",2022,28.6,7.1,64.3,46.47079849,42.63704681,10.89215374,22.3,4,1.5,96.7351259488,3.1183577791,7.1677916611,7.8719903962,8.1587425162
"96","FIN","Finland",2023,27.7,6.2,66.1,46.41966629,42.53651428,11.04381943,21.6,3.40263333375418,1.1,95.4165484539,4.3259860333,7.1677916611,7.7212423365,8.1587425162
"97","FRA","France",2010,23.8,8.9,67.3,41.759781,29.006897,29.233322,193.1,5,1.2,92.7246585146,6.7464306534,7.1376639435,7.0531889489,7.8397553037
